Kategori: Alla kategorier

Vecka,corona: (Danmark)
2019-11-03,< 1
2019-11-10,< 1
2019-11-17,< 1
2019-11-24,< 1
2019-12-01,< 1
2019-12-08,< 1
2019-12-15,< 1
2019-12-22,< 1
2019-12-29,< 1
2020-01-05,< 1
2020-01-12,< 1
2020-01-19,1
2020-01-26,4
2020-02-02,3
2020-02-09,3
2020-02-16,3
2020-02-23,17
2020-03-01,25
2020-03-08,100
2020-03-15,72
2020-03-22,52
2020-03-29,40
2020-04-05,38
2020-04-12,28
2020-04-19,27
2020-04-26,21
2020-05-03,20
2020-05-10,21
2020-05-17,18
2020-05-24,17
2020-05-31,14
2020-06-07,17
2020-06-14,16
2020-06-21,16
2020-06-28,15
2020-07-05,13
2020-07-12,12
2020-07-19,14
2020-07-26,15
2020-08-02,19
2020-08-09,22
2020-08-16,20
2020-08-23,17
2020-08-30,16
2020-09-06,23
2020-09-13,28
2020-09-20,26
2020-09-27,19
2020-10-04,19
2020-10-11,17
2020-10-18,25
2020-10-25,31
2020-11-01,25
2020-11-08,21
2020-11-15,19
2020-11-22,17
2020-11-29,20
2020-12-06,35
2020-12-13,37
2020-12-20,32
2020-12-27,25
2021-01-03,25
2021-01-10,22
2021-01-17,18
2021-01-24,17
2021-01-31,17
2021-02-07,16
2021-02-14,17
2021-02-21,21
2021-02-28,17
2021-03-07,18
2021-03-14,18
2021-03-21,22
2021-03-28,18
2021-04-04,21
2021-04-11,18
2021-04-18,20
2021-04-25,18
2021-05-02,20
2021-05-09,21
2021-05-16,18
2021-05-23,18
2021-05-30,16
2021-06-06,15
2021-06-13,13
2021-06-20,14
2021-06-27,16
2021-07-04,15
2021-07-11,18
2021-07-18,16
2021-07-25,14
2021-08-01,13
2021-08-08,11
2021-08-15,11
2021-08-22,12
2021-08-29,10
2021-09-05,8
2021-09-12,7
2021-09-19,5
2021-09-26,5
2021-10-03,5
2021-10-10,5
2021-10-17,6
2021-10-24,7
2021-10-31,10
2021-11-07,17
2021-11-14,16
2021-11-21,17
2021-11-28,18
2021-12-05,23
