Kategori: Alla kategorier

Vecka,vaccine: (Danmark)
2019-11-03,10
2019-11-10,7
2019-11-17,6
2019-11-24,6
2019-12-01,5
2019-12-08,4
2019-12-15,4
2019-12-22,3
2019-12-29,5
2020-01-05,2
2020-01-12,6
2020-01-19,5
2020-01-26,5
2020-02-02,6
2020-02-09,6
2020-02-16,4
2020-02-23,8
2020-03-01,7
2020-03-08,12
2020-03-15,10
2020-03-22,6
2020-03-29,7
2020-04-05,11
2020-04-12,9
2020-04-19,10
2020-04-26,9
2020-05-03,7
2020-05-10,7
2020-05-17,4
2020-05-24,5
2020-05-31,4
2020-06-07,7
2020-06-14,6
2020-06-21,5
2020-06-28,4
2020-07-05,5
2020-07-12,7
2020-07-19,4
2020-07-26,5
2020-08-02,7
2020-08-09,8
2020-08-16,6
2020-08-23,7
2020-08-30,9
2020-09-06,8
2020-09-13,9
2020-09-20,10
2020-09-27,26
2020-10-04,21
2020-10-11,14
2020-10-18,13
2020-10-25,14
2020-11-01,10
2020-11-08,16
2020-11-15,13
2020-11-22,16
2020-11-29,12
2020-12-06,18
2020-12-13,23
2020-12-20,30
2020-12-27,42
2021-01-03,42
2021-01-10,49
2021-01-17,27
2021-01-24,28
2021-01-31,24
2021-02-07,30
2021-02-14,51
2021-02-21,69
2021-02-28,53
2021-03-07,54
2021-03-14,57
2021-03-21,53
2021-03-28,50
2021-04-04,53
2021-04-11,56
2021-04-18,39
2021-04-25,45
2021-05-02,63
2021-05-09,64
2021-05-16,76
2021-05-23,71
2021-05-30,69
2021-06-06,80
2021-06-13,70
2021-06-20,55
2021-06-27,72
2021-07-04,100
2021-07-11,76
2021-07-18,69
2021-07-25,49
2021-08-01,49
2021-08-08,47
2021-08-15,39
2021-08-22,35
2021-08-29,29
2021-09-05,19
2021-09-12,25
2021-09-19,22
2021-09-26,27
2021-10-03,24
2021-10-10,17
2021-10-17,20
2021-10-24,20
2021-10-31,19
2021-11-07,42
2021-11-14,32
2021-11-21,35
2021-11-28,37
2021-12-05,53
