Kategori: Alla kategorier

Vecka,corona: (Finland)
2019-11-03,< 1
2019-11-10,< 1
2019-11-17,< 1
2019-11-24,< 1
2019-12-01,< 1
2019-12-08,< 1
2019-12-15,1
2019-12-22,1
2019-12-29,< 1
2020-01-05,< 1
2020-01-12,< 1
2020-01-19,3
2020-01-26,14
2020-02-02,9
2020-02-09,8
2020-02-16,6
2020-02-23,29
2020-03-01,31
2020-03-08,100
2020-03-15,86
2020-03-22,75
2020-03-29,53
2020-04-05,41
2020-04-12,30
2020-04-19,25
2020-04-26,20
2020-05-03,16
2020-05-10,17
2020-05-17,13
2020-05-24,15
2020-05-31,13
2020-06-07,12
2020-06-14,11
2020-06-21,13
2020-06-28,12
2020-07-05,12
2020-07-12,12
2020-07-19,10
2020-07-26,11
2020-08-02,13
2020-08-09,13
2020-08-16,11
2020-08-23,9
2020-08-30,10
2020-09-06,10
2020-09-13,8
2020-09-20,9
2020-09-27,11
2020-10-04,13
2020-10-11,12
2020-10-18,10
2020-10-25,10
2020-11-01,9
2020-11-08,8
2020-11-15,11
2020-11-22,10
2020-11-29,11
2020-12-06,10
2020-12-13,10
2020-12-20,11
2020-12-27,10
2021-01-03,11
2021-01-10,7
2021-01-17,8
2021-01-24,8
2021-01-31,9
2021-02-07,7
2021-02-14,8
2021-02-21,9
2021-02-28,10
2021-03-07,8
2021-03-14,9
2021-03-21,7
2021-03-28,6
2021-04-04,10
2021-04-11,9
2021-04-18,9
2021-04-25,8
2021-05-02,9
2021-05-09,9
2021-05-16,7
2021-05-23,6
2021-05-30,7
2021-06-06,6
2021-06-13,7
2021-06-20,6
2021-06-27,6
2021-07-04,6
2021-07-11,6
2021-07-18,7
2021-07-25,9
2021-08-01,8
2021-08-08,8
2021-08-15,7
2021-08-22,6
2021-08-29,6
2021-09-05,4
2021-09-12,5
2021-09-19,4
2021-09-26,4
2021-10-03,4
2021-10-10,3
2021-10-17,3
2021-10-24,4
2021-10-31,4
2021-11-07,4
2021-11-14,4
2021-11-21,4
2021-11-28,4
2021-12-05,4
