Kategori: Alla kategorier

Vecka,corona: (Island)
2019-11-03,0
2019-11-10,2
2019-11-17,3
2019-11-24,2
2019-12-01,7
2019-12-08,0
2019-12-15,4
2019-12-22,0
2019-12-29,2
2020-01-05,2
2020-01-12,2
2020-01-19,5
2020-01-26,39
2020-02-02,24
2020-02-09,9
2020-02-16,14
2020-02-23,41
2020-03-01,79
2020-03-08,88
2020-03-15,100
2020-03-22,45
2020-03-29,22
2020-04-05,24
2020-04-12,13
2020-04-19,27
2020-04-26,3
2020-05-03,12
2020-05-10,15
2020-05-17,4
2020-05-24,7
2020-05-31,2
2020-06-07,4
2020-06-14,2
2020-06-21,5
2020-06-28,9
2020-07-05,9
2020-07-12,5
2020-07-19,11
2020-07-26,12
2020-08-02,14
2020-08-09,22
2020-08-16,18
2020-08-23,11
2020-08-30,8
2020-09-06,5
2020-09-13,10
2020-09-20,8
2020-09-27,14
2020-10-04,14
2020-10-11,7
2020-10-18,4
2020-10-25,5
2020-11-01,5
2020-11-08,2
2020-11-15,5
2020-11-22,7
2020-11-29,0
2020-12-06,2
2020-12-13,0
2020-12-20,2
2020-12-27,4
2021-01-03,6
2021-01-10,4
2021-01-17,4
2021-01-24,6
2021-01-31,2
2021-02-07,4
2021-02-14,4
2021-02-21,6
2021-02-28,0
2021-03-07,2
2021-03-14,0
2021-03-21,6
2021-03-28,4
2021-04-04,9
2021-04-11,0
2021-04-18,4
2021-04-25,4
2021-05-02,5
2021-05-09,2
2021-05-16,6
2021-05-23,4
2021-05-30,13
2021-06-06,4
2021-06-13,7
2021-06-20,5
2021-06-27,2
2021-07-04,5
2021-07-11,5
2021-07-18,13
2021-07-25,17
2021-08-01,10
2021-08-08,10
2021-08-15,16
2021-08-22,7
2021-08-29,5
2021-09-05,14
2021-09-12,10
2021-09-19,5
2021-09-26,9
2021-10-03,1
2021-10-10,14
2021-10-17,6
2021-10-24,3
2021-10-31,1
2021-11-07,7
2021-11-14,2
2021-11-21,3
2021-11-28,6
2021-12-05,10
