Kategori: Alla kategorier

Vecka,corona: (Norge)
2019-11-03,< 1
2019-11-10,< 1
2019-11-17,< 1
2019-11-24,< 1
2019-12-01,< 1
2019-12-08,0
2019-12-15,< 1
2019-12-22,< 1
2019-12-29,< 1
2020-01-05,< 1
2020-01-12,< 1
2020-01-19,1
2020-01-26,5
2020-02-02,4
2020-02-09,4
2020-02-16,2
2020-02-23,20
2020-03-01,29
2020-03-08,100
2020-03-15,77
2020-03-22,50
2020-03-29,39
2020-04-05,30
2020-04-12,25
2020-04-19,20
2020-04-26,17
2020-05-03,15
2020-05-10,13
2020-05-17,10
2020-05-24,11
2020-05-31,10
2020-06-07,10
2020-06-14,8
2020-06-21,8
2020-06-28,8
2020-07-05,9
2020-07-12,8
2020-07-19,9
2020-07-26,10
2020-08-02,12
2020-08-09,16
2020-08-16,13
2020-08-23,10
2020-08-30,11
2020-09-06,9
2020-09-13,9
2020-09-20,9
2020-09-27,8
2020-10-04,8
2020-10-11,8
2020-10-18,8
2020-10-25,14
2020-11-01,15
2020-11-08,15
2020-11-15,11
2020-11-22,7
2020-11-29,7
2020-12-06,8
2020-12-13,9
2020-12-20,10
2020-12-27,11
2021-01-03,11
2021-01-10,8
2021-01-17,9
2021-01-24,8
2021-01-31,7
2021-02-07,7
2021-02-14,6
2021-02-21,7
2021-02-28,8
2021-03-07,8
2021-03-14,10
2021-03-21,10
2021-03-28,6
2021-04-04,7
2021-04-11,6
2021-04-18,5
2021-04-25,6
2021-05-02,7
2021-05-09,6
2021-05-16,5
2021-05-23,5
2021-05-30,6
2021-06-06,5
2021-06-13,6
2021-06-20,5
2021-06-27,6
2021-07-04,6
2021-07-11,6
2021-07-18,6
2021-07-25,6
2021-08-01,6
2021-08-08,5
2021-08-15,5
2021-08-22,6
2021-08-29,7
2021-09-05,6
2021-09-12,4
2021-09-19,4
2021-09-26,4
2021-10-03,2
2021-10-10,2
2021-10-17,3
2021-10-24,3
2021-10-31,3
2021-11-07,3
2021-11-14,3
2021-11-21,4
2021-11-28,5
2021-12-05,5
