Kategori: Alla kategorier

Vecka,corona: (Sverige)
2019-11-03,< 1
2019-11-10,< 1
2019-11-17,< 1
2019-11-24,< 1
2019-12-01,< 1
2019-12-08,< 1
2019-12-15,< 1
2019-12-22,< 1
2019-12-29,< 1
2020-01-05,< 1
2020-01-12,< 1
2020-01-19,1
2020-01-26,7
2020-02-02,6
2020-02-09,4
2020-02-16,4
2020-02-23,23
2020-03-01,36
2020-03-08,100
2020-03-15,91
2020-03-22,73
2020-03-29,63
2020-04-05,47
2020-04-12,43
2020-04-19,34
2020-04-26,30
2020-05-03,26
2020-05-10,22
2020-05-17,20
2020-05-24,21
2020-05-31,19
2020-06-07,19
2020-06-14,20
2020-06-21,19
2020-06-28,17
2020-07-05,17
2020-07-12,16
2020-07-19,14
2020-07-26,14
2020-08-02,14
2020-08-09,15
2020-08-16,13
2020-08-23,12
2020-08-30,12
2020-09-06,13
2020-09-13,11
2020-09-20,13
2020-09-27,13
2020-10-04,13
2020-10-11,14
2020-10-18,15
2020-10-25,21
2020-11-01,24
2020-11-08,26
2020-11-15,27
2020-11-22,19
2020-11-29,18
2020-12-06,20
2020-12-13,24
2020-12-20,21
2020-12-27,18
2021-01-03,19
2021-01-10,17
2021-01-17,16
2021-01-24,15
2021-01-31,14
2021-02-07,13
2021-02-14,15
2021-02-21,15
2021-02-28,15
2021-03-07,15
2021-03-14,13
2021-03-21,14
2021-03-28,14
2021-04-04,13
2021-04-11,14
2021-04-18,14
2021-04-25,15
2021-05-02,13
2021-05-09,11
2021-05-16,10
2021-05-23,11
2021-05-30,11
2021-06-06,10
2021-06-13,9
2021-06-20,8
2021-06-27,9
2021-07-04,8
2021-07-11,8
2021-07-18,8
2021-07-25,7
2021-08-01,7
2021-08-08,7
2021-08-15,7
2021-08-22,7
2021-08-29,7
2021-09-05,7
2021-09-12,5
2021-09-19,5
2021-09-26,5
2021-10-03,4
2021-10-10,4
2021-10-17,3
2021-10-24,4
2021-10-31,3
2021-11-07,4
2021-11-14,5
2021-11-21,5
2021-11-28,7
2021-12-05,9
